title,type,url_slug,venue,date,location,talk_url,description
How to row more efficiently,Talk,talk-1,ACBB,2019-01-21,"Boulogne-Billancourt, France",https://www.boulogne92.fr/,This is the first talk I did at a rowing club
Second talk,Talk,talk-2,ACBB,2019-03-20,"Boulogne-Billancourt, France",https://www.boulogne92.fr/,Second talk at the club
